Account;date;Followers
bonappetit;2018-02-24;3191547.0
NatGeoFood;2018-02-24;35479.0
TwitterFood;2018-02-24;838307.0
Fooddotcom;2018-02-24;28.0
newfoodeconomy;2018-02-24;5905.0
bflay;2018-02-24;2693394.0
RealCarrotFacts;2018-02-24;221966.0
NYTFood;2018-02-24;1419095.0
CivilEats;2018-02-24;92072.0
Seriouseats;2018-02-24;803718.0
RealCapnCrunch;2018-02-24;41672.0
iowagirleats;2018-02-24;15301.0
spoonuniversity;2018-02-24;17204.0
foodandwine;2018-02-24;6667458.0
epicurious;2018-02-24;2795854.0
Newsweek;2018-02-24;3419339.0
nytimes;2018-02-24;41211361.0
NBCNews;2018-02-24;5865131.0
CNN;2018-02-24;39514352.0
washingtonpost;2018-02-24;12140803.0
BBCWorld;2018-02-24;22697796.0
WSJ;2018-02-24;15559972.0
FoxNews;2018-02-24;17264428.0
ABC;2018-02-24;13519485.0
Reuters;2018-02-24;19406112.0
el_pais;2018-02-24;6568175.0
abc_es;2018-02-24;1518714.0
antena3com;2018-02-24;1354272.0
noticias_cuatro;2018-02-24;799722.0
24h_tve;2018-02-24;1262264.0
ecosdelbalon;2018-02-24;38430.0
NYT4thDownBot;2018-02-24;25979.0
baseballpro;2018-02-24;114554.0
FutbolAvanzado;2018-02-24;22986.0
NBA;2018-02-24;27340280.0
LaLiga;2018-02-24;3476298.0
AnalyseSport;2018-02-24;8565.0
Olympics;2018-02-24;6038534.0
wizard_cfc;2018-02-24;14984.0
ThatGuyTipsterr;2018-02-24;7611.0
moneyballfutbol;2018-02-24;2822.0
Multi_Apuesta;2018-02-24;49985.0
AP_Sports;2018-02-24;119981.0
sportbible;2018-02-24;1299978.0
SportsCenter;2018-02-24;35484984.0
livefolk;2018-02-24;201.0
travel;2018-02-24;6158605.0
NatGeoTravel;2018-02-24;6525738.0
TravelLeisure;2018-02-24;4011750.0
Earth_Pics;2018-02-24;8432849.0
EarthPix;2018-02-24;3022739.0
frugaltraveler;2018-02-24;516902.0
nytimestravel;2018-02-24;1140205.0
BBC_Travel;2018-02-24;981358.0
TelegraphTravel;2018-02-24;283659.0
TravelMagazine;2018-02-24;2782455.0
CNTraveler;2018-02-24;3183814.0
ThatsEarth;2018-02-24;1463883.0
chicagoideas;2018-02-24;39326.0
ViajaEnElMundo;2018-02-24;128812.0
TheBlondeSalad;2018-02-24;9926.0
kenzo;2018-02-24;319358.0
voguemagazine;2018-02-24;13651961.0
BritishVogue;2018-02-24;3605186.0
ELLEmagazine;2018-02-24;6853769.0
Cosmopolitan;2018-02-24;1724372.0
Fashionista_com;2018-02-24;2250333.0
WhoWhatWear;2018-02-24;2331341.0
TheCut;2018-02-24;1430443.0
TimesFashion;2018-02-24;2507902.0
ELLEUK;2018-02-24;1221413.0
LondonFashionWk;2018-02-24;1266332.0
VictoriasSecret;2018-02-24;11485446.0
styleinmadrid;2018-02-24;28513.0
RevistaInStyle;2018-02-24;31048.0
Sephora;2018-02-24;2383256.0
CiudadanosCs;2018-02-24;459822.0
Bcnisnotcat_;2018-02-24;50904.0
AMI__cat;2018-02-24;37190.0
TheDemocrats;2018-02-24;1425202.0
epp;2018-02-24;124841.0
ahorapodemos;2018-02-24;1322130.0
CNNPolitics;2018-02-24;2606743.0
bpolitics;2018-02-24;234314.0
ABCPolitics;2018-02-24;670006.0
MSNBC;2018-02-24;2018977.0
latimes;2018-02-24;3204908.0
thehill;2018-02-24;2988012.0
vox_es;2018-02-24;69411.0
cope_es;2018-02-24;340489.0
OndaCero_es;2018-02-24;493648.0
UberFacts;2018-02-24;14514008.0
BuzzFeed;2018-02-24;6444656.0
SavedYouAClick;2018-02-24;259401.0
MoviePass;2018-02-24;45054.0
kalesalad;2018-02-24;158234.0
cuantocabron;2018-02-24;209664.0
ladbible;2018-02-24;2032313.0
mental_floss;2018-02-24;647686.0
elmundotoday;2018-02-24;1157547.0
Cabronazi;2018-02-24;252215.0
lavecinarubia;2018-02-24;374257.0
pourmecoffee;2018-02-24;279750.0
NFL_Memes;2018-02-24;441668.0
9GAG;2018-02-24;14594621.0
funnyordie;2018-02-24;14391348.0
netflix;2018-02-24;4753765.0
hbo;2018-02-24;1919978.0
FOXTV;2018-02-24;1254925.0
SonyPicsTeens;2018-02-24;2991279.0
Miramax;2018-02-24;429480.0
NBC;2018-02-24;1791590.0
La1_tve;2018-02-24;531439.0
laSextaTV;2018-02-24;894221.0
9gagtv;2018-02-24;187462.0
PrimeVideo;2018-02-24;371736.0
hulu;2018-02-24;531325.0
CBS;2018-02-24;966241.0
shows_tv;2018-02-24;14300.0
MarvelStudios;2018-02-24;638555.0
TwitterMovies;2018-02-24;7193578.0
policia;2018-02-24;3123692.0
CIA;2018-02-24;2277350.0
WhiteHouse;2018-02-24;16686267.0
casareal;2018-02-24;827846.0
nswpolice;2018-02-24;152996.0
guardiacivil;2018-02-24;1186458.0
DGTes;2018-02-24;199482.0
esa;2018-02-24;824557.0
NASA;2018-02-24;28581674.0
CERN;2018-02-24;2559697.0
